Station,Tide_Name,Target_Freq,Frequency,Amplitude,Classification,Red_Flag
9200221,PUMP_1cpd,1.0,1.0,0.0555491225098672,high,
9200221,PUMP_2cpd,2.0,2.0,0.011175123919285532,high,
7020111,PUMP_1cpd,1.0,1.0,0.011829881938129835,high,
9130121,PUMP_1cpd,1.0,1.0,0.0781776109985689,high,
9130121,PUMP_2cpd,2.0,2.0,0.04059230450888658,high,
9180341,PUMP_2cpd,2.0,2.0,0.002259167598557254,moderate,Peak at ~1.0 cpd present but not captured as candidate
9180221,PUMP_1cpd,1.0,1.0,0.006098550100057809,high,
9180221,PUMP_2cpd,2.0,2.0,0.0023033869689274684,moderate,
7080121,PUMP_1cpd,1.0,1.0002488800398208,0.0031202411117625525,high,
7020121,PUMP_1cpd,1.0,1.0,0.03382007695450553,high,
9020111,PUMP_1cpd,1.0,1.0,0.017742890694243642,high,
9020111,PUMP_2cpd,2.0,2.0,0.005125306601548839,high,
9010142,PUMP_1cpd,1.0,1.0004977600796416,0.002548062847808195,moderate,
9010142,PUMP_2cpd,2.0,2.0,0.004613007088105596,high,
7220211,PUMP_1cpd,1.0,1.0002488800398208,0.0023839169709325716,moderate,
7220211,PUMP_2cpd,2.0,2.0,0.0033936883893961613,high,
7200111,PUMP_1cpd,1.0,1.0,0.024636764862470836,high,
7200111,PUMP_2cpd,2.0,2.0,0.00866988348518423,high,
7060141,PUMP_1cpd,1.0,1.0,0.0057633098343359964,high,
7060141,PUMP_2cpd,2.0,2.0,0.0036513496139866206,high,
7240222,PUMP_1cpd,1.0,1.0,0.525229968572062,high,
7240222,PUMP_2cpd,2.0,2.0,0.15490975608407748,high,
7050121,PUMP_1cpd,1.0,1.0,0.08516561008932025,high,
9070131,PUMP_1cpd,1.0,1.0,0.004005587755568154,high,
9070131,PUMP_2cpd,2.0,2.0,0.004794384718088808,high,
9010111,PUMP_1cpd,1.0,1.0,0.20210149501767444,high,
9010111,PUMP_2cpd,2.0,2.0,0.03889825962566195,high,
7200221,PUMP_1cpd,1.0,1.0,0.00702275533036433,high,
7200221,PUMP_2cpd,2.0,2.0,0.0018084980453292908,moderate,
7260311,PUMP_1cpd,1.0,1.0,0.006470081467980767,high,
7260311,PUMP_2cpd,2.0,2.0,0.0022368630738950827,moderate,
9100121,PUMP_1cpd,1.0,1.0,0.003934645163068525,high,
9100121,PUMP_2cpd,2.0,2.0,0.004968853347045179,high,
9180441,PUMP_1cpd,1.0,1.0,0.0037944659633792517,high,
9180441,PUMP_2cpd,2.0,2.0,0.0025609089416090036,moderate,
9110211,PUMP_1cpd,1.0,1.0,0.05798008083263828,high,
9110211,PUMP_2cpd,2.0,2.0,0.014042857159404488,high,
9080211,PUMP_1cpd,1.0,1.0,0.06344182036380955,high,
9080211,PUMP_2cpd,2.0,2.0,0.013929244168701812,high,
9140111,PUMP_1cpd,1.0,1.0,0.054595656994296284,high,
9140111,PUMP_2cpd,2.0,2.0,0.012038507519241896,high,
9040231,PUMP_1cpd,1.0,1.0,0.003263382567864926,high,
9040231,PUMP_2cpd,2.0,2.0,0.002467380751977486,moderate,
7140111,PUMP_1cpd,1.0,1.0,0.10563444363494484,high,
9090211,PUMP_1cpd,1.0,1.0,0.014177456689837597,high,
9090211,PUMP_2cpd,2.0,2.0,0.014520762957221649,high,
9100221,PUMP_1cpd,1.0,1.0,0.018151303118889524,high,
9100221,PUMP_2cpd,2.0,2.0,0.004707119335841033,high,
7260611,PUMP_1cpd,1.0,0.9990044798407167,0.004591387255463843,high,
7260611,PUMP_2cpd,2.0,2.0,0.004570936455437728,high,
7200211,PUMP_1cpd,1.0,1.0,0.004834496145879255,high,
7200211,PUMP_2cpd,2.0,2.0,0.003294486006952531,high,
9080131,PUMP_1cpd,1.0,1.0,0.050517714664137285,high,
7050111,PUMP_1cpd,1.0,0.9997511199601792,0.004215741082054987,high,
9080251,PUMP_1cpd,1.0,1.0,0.004171062332547025,high,
9080251,PUMP_2cpd,2.0,2.0,0.0024405992896850115,moderate,
9120111,PUMP_1cpd,1.0,1.0,0.046418655079148496,high,
9120111,PUMP_2cpd,2.0,2.0,0.015021932173414947,high,
9130211,PUMP_1cpd,1.0,1.0,0.22359624893420868,high,
9130211,PUMP_2cpd,2.0,2.0,0.045886279277987926,high,
9160211,PUMP_1cpd,1.0,1.0,0.060528978345244365,high,
9160211,PUMP_2cpd,2.0,1.9997511199601792,0.029714360206724248,high,
9090221,PUMP_1cpd,1.0,1.0,0.02143529892663211,high,
9090221,PUMP_2cpd,2.0,2.0,0.010658791116425963,high,
9200121,PUMP_1cpd,1.0,1.0002488800398208,0.004398684291643204,high,
9200121,PUMP_2cpd,2.0,2.0,0.003906004334621354,high,
9030321,PUMP_1cpd,1.0,0.9997511199601792,0.0035502940883328027,high,
9030321,PUMP_2cpd,2.0,2.0,0.004418164380984626,high,
9180321,PUMP_1cpd,1.0,1.0,0.026358316051686297,high,
9180321,PUMP_2cpd,2.0,2.0,0.009609787553639863,high,
7060131,PUMP_1cpd,1.0,1.0,0.024200756288141976,high,
7060131,PUMP_2cpd,2.0,2.0,0.005515446269096182,high,
7080131,PUMP_1cpd,1.0,1.0,0.03373180110164466,high,
7080131,PUMP_2cpd,2.0,2.0,0.008443915606543232,high,
7260211,PUMP_1cpd,1.0,1.0,0.005304614196418258,high,
7260211,PUMP_2cpd,2.0,2.0,0.0032811154764812254,high,
9060111,PUMP_1cpd,1.0,1.0,0.028385787920393885,high,
9090511,PUMP_1cpd,1.0,0.9997511199601792,0.004478317701453372,high,
9090511,PUMP_2cpd,2.0,2.0,0.005121088521177995,high,
9010221,PUMP_1cpd,1.0,1.0,0.0052573698790321,high,
9110311,PUMP_1cpd,1.0,1.0,0.018009961017518686,high,
9200211,PUMP_1cpd,1.0,1.0,0.12276853752360203,high,
9200211,PUMP_2cpd,2.0,2.0,0.014986279581254702,high,
9170121,PUMP_1cpd,1.0,1.0,0.023929238103888455,high,
9170121,PUMP_2cpd,2.0,2.0,0.006882442983746776,high,
7200131,PUMP_1cpd,1.0,1.0,0.0069330923412452795,high,
9020121,PUMP_1cpd,1.0,1.0,0.07096643695836324,high,
9020121,PUMP_2cpd,2.0,2.0,0.023507657477758716,high,
9160221,PUMP_1cpd,1.0,1.0002488800398208,0.014210959241500874,high,
9160221,PUMP_2cpd,2.0,2.0,0.012198543922841887,high,
9030121,PUMP_1cpd,1.0,1.0,0.052082678213982235,high,
9030121,PUMP_2cpd,2.0,2.0,0.006131251975199389,high,
9120121,PUMP_1cpd,1.0,1.0,0.034051248803265544,high,
9120121,PUMP_2cpd,2.0,2.0,0.005830039140288979,high,
7230311,PUMP_1cpd,1.0,1.0,0.03516580203975967,high,
7230311,PUMP_2cpd,2.0,2.0,0.010716601609625176,high,
9090411,PUMP_1cpd,1.0,1.0007466401194625,0.008031029856026597,high,
9090411,PUMP_2cpd,2.0,2.0,0.006327664729535824,high,
9200111,PUMP_1cpd,1.0,1.0,0.06276607031123835,high,
7240111,PUMP_1cpd,1.0,1.0,0.12406802737325769,high,
7240111,PUMP_2cpd,2.0,1.9997511199601792,0.01664076980354884,high,
9180451,PUMP_1cpd,1.0,1.0,0.0013963747298199982,moderate,
9180451,PUMP_2cpd,2.0,2.0,0.002725461718188498,moderate,
7050141,PUMP_2cpd,2.0,2.0,0.03416334579966674,high,
9070111,PUMP_1cpd,1.0,1.0,0.0175487391089956,high,
9070111,PUMP_2cpd,2.0,2.0,0.008292456348185541,high,
7140121,PUMP_1cpd,1.0,1.0,0.022884253339378338,high,
7140121,PUMP_2cpd,2.0,2.0,0.0064834987162660715,high,
9140121,PUMP_1cpd,1.0,1.0,0.0010875999647194155,moderate,
9140121,PUMP_2cpd,2.0,2.0,0.002084977186532384,moderate,
9130311,PUMP_1cpd,1.0,1.0,0.1528017947944995,high,
9130311,PUMP_2cpd,2.0,2.0,0.0750658426786309,high,
9060211,PUMP_1cpd,1.0,1.0,0.0010743001230575124,moderate,
9060211,PUMP_2cpd,2.0,2.0,0.0032734132874928283,high,
7040141,PUMP_1cpd,1.0,0.9997511199601792,0.002132726012291613,moderate,
7040141,PUMP_2cpd,2.0,2.0,0.0028547583085766263,moderate,
9070121,PUMP_1cpd,1.0,1.0,0.01053809934933606,high,
9070121,PUMP_2cpd,2.0,2.0,0.005184820036074379,high,
7240121,PUMP_1cpd,1.0,1.0,0.10256986832640533,high,
7240121,PUMP_2cpd,2.0,2.0,0.02490419240376791,high,
7100111,PUMP_1cpd,1.0,1.0,0.011907434827742503,high,
7100111,PUMP_2cpd,2.0,2.0,0.0035306976311865104,high,
9160141,PUMP_1cpd,1.0,1.0,0.004835679345092505,high,
9160141,PUMP_2cpd,2.0,2.0,0.008832168353773585,high,
9030111,PUMP_2cpd,2.0,2.0,0.0022143423802463073,moderate,
9010121,PUMP_1cpd,1.0,1.0,0.06925678402186014,high,
9010121,PUMP_2cpd,2.0,2.0,0.009228582015982494,high,
7220221,PUMP_1cpd,1.0,0.9997511199601792,0.003120794981188127,high,
7220221,PUMP_2cpd,2.0,2.0,0.0056729394231811595,high,
9170111,PUMP_1cpd,1.0,1.0,0.09568634914759382,high,
9170111,PUMP_2cpd,2.0,2.0,0.015923685188247782,high,
7100211,PUMP_1cpd,1.0,1.0002488800398208,0.005158371097380913,high,
7100211,PUMP_2cpd,2.0,2.0,0.004194131716694774,high,
9110121,PUMP_1cpd,1.0,1.0,0.06060881852088412,high,
9110121,PUMP_2cpd,2.0,2.0,0.012584868075575375,high,
7110131,PUMP_1cpd,1.0,1.0002488800398208,0.003631678661604009,high,
7110131,PUMP_2cpd,2.0,2.0,0.0029309452873115564,moderate,
7210111,PUMP_1cpd,1.0,1.0,0.059651601656741354,high,
7210111,PUMP_2cpd,2.0,2.0,0.017293313411745385,high,
7010121,PUMP_1cpd,1.0,1.0,0.026229358260985585,high,
9130321,PUMP_1cpd,1.0,1.0,0.058807085616865915,high,
9130321,PUMP_2cpd,2.0,2.0,0.03308237484193854,high,
9190132,PUMP_1cpd,1.0,1.0,0.045598940688269675,high,
9190132,PUMP_2cpd,2.0,2.0,0.028491840946523374,high,
9180211,PUMP_1cpd,1.0,1.0,0.044301930429729505,high,
9080231,PUMP_1cpd,1.0,1.0,0.06430958145710423,high,
9080231,PUMP_2cpd,2.0,2.0,0.008342671392351083,high,
9170311,PUMP_1cpd,1.0,1.0,0.04546715668176875,high,
9170311,PUMP_2cpd,2.0,2.0,0.003882334117726092,high,
7230241,PUMP_2cpd,2.0,2.0,0.02898132409750566,high,
7260221,PUMP_1cpd,1.0,1.0,0.019827500430774622,high,
7260221,PUMP_2cpd,2.0,2.0,0.0064684278532441,high,
9050111,PUMP_1cpd,1.0,1.0,0.21021204555543235,high,
9050111,PUMP_2cpd,2.0,2.0,0.07487089154780341,high,
9030311,PUMP_1cpd,1.0,1.0,0.04227906464621012,high,
9030311,PUMP_2cpd,2.0,2.0,0.012292534970006682,high,
7210121,PUMP_1cpd,1.0,1.0,0.0046119313921388775,high,
7210121,PUMP_2cpd,2.0,2.0,0.004119550630649287,high,
9170221,PUMP_1cpd,1.0,1.0,0.14483948010644643,high,
9170221,PUMP_2cpd,2.0,2.0,0.016873650250178507,high,
9080221,PUMP_1cpd,1.0,1.0,0.07331182756547254,high,
9080221,PUMP_2cpd,2.0,2.0,0.010850251455648857,high,
7240212,PUMP_1cpd,1.0,1.0,0.1066992393479924,high,
7240212,PUMP_2cpd,2.0,2.0,0.04526236906411062,high,
7230321,PUMP_1cpd,1.0,1.0,0.04069008976877062,high,
7230321,PUMP_2cpd,2.0,2.0,0.01593885228315393,high,
7050131,PUMP_2cpd,2.0,2.0,0.038107821302943656,high,
7010211,PUMP_1cpd,1.0,1.0,0.07571893440366617,high,
7010211,PUMP_2cpd,2.0,2.0,0.012352696455346347,high,
9150131,PUMP_1cpd,1.0,0.9997511199601792,0.006670014949690918,high,
9150131,PUMP_2cpd,2.0,2.0,0.0038402322158879836,high,
7140131,PUMP_1cpd,1.0,1.0,0.006037224695642874,high,
7140131,PUMP_2cpd,2.0,2.0,0.002957663525844768,moderate,
7040111,PUMP_1cpd,1.0,1.0,0.007886623014486557,high,
7040111,PUMP_2cpd,2.0,2.0,0.005701211382727271,high,
7240241,PUMP_1cpd,1.0,1.0,0.012608336927441965,high,
7240241,PUMP_2cpd,2.0,2.0,0.009101641891433336,high,
7240231,PUMP_1cpd,1.0,1.0,0.1707547792796548,high,
7240231,PUMP_2cpd,2.0,2.0,0.041180412524974445,high,
7250111,PUMP_1cpd,1.0,1.0,0.002614756568708756,moderate,
7250111,PUMP_2cpd,2.0,2.0,0.0015526048801836896,moderate,
7060121,PUMP_1cpd,1.0,1.0,0.009281839522538315,high,
9180111,PUMP_1cpd,1.0,1.0,0.023890892671838516,high,
9180111,PUMP_2cpd,2.0,2.0,0.004345856002765,high,
9180411,PUMP_1cpd,1.0,1.0,0.06819889533809599,high,
9180411,PUMP_2cpd,2.0,2.0,0.012381764744379995,high,
9110111,PUMP_1cpd,1.0,1.0,0.011627855851124481,high,
7110121,PUMP_1cpd,1.0,1.0,0.017483457227305006,high,
7110121,PUMP_2cpd,2.0,2.0,0.0038456867595136417,high,
9050211,PUMP_1cpd,1.0,1.0,0.07766699344968676,high,
9050211,PUMP_2cpd,2.0,2.0,0.010460562954867218,high,
9100211,PUMP_1cpd,1.0,1.0002488800398208,0.004772607389046951,high,
9100211,PUMP_2cpd,2.0,2.0,0.002361846018240311,moderate,
9180331,PUMP_1cpd,1.0,1.0004977600796416,0.007907060569043016,high,
9070311,PUMP_1cpd,1.0,1.0,0.007137238383667118,high,
9070311,PUMP_2cpd,2.0,2.0,0.014402473965393287,high,
7010221,PUMP_1cpd,1.0,1.0,0.0018442312992421569,moderate,
7010221,PUMP_2cpd,2.0,2.0,0.0027937872506382305,moderate,
9200311,PUMP_1cpd,1.0,1.0,0.06329688514145541,high,
9200311,PUMP_2cpd,2.0,2.000248880039821,0.0133164012916911,high,
7080141,PUMP_1cpd,1.0,1.0,0.0036336570398307743,high,
7080141,PUMP_2cpd,2.0,2.0,0.003919528374181776,high,
7170121,PUMP_1cpd,1.0,1.0,0.023097477398890696,high,
7200121,PUMP_1cpd,1.0,1.0,0.028089692806346767,high,
7200121,PUMP_2cpd,2.0,2.0,0.007386029089348195,high,
7260511,PUMP_1cpd,1.0,0.9997511199601792,0.004697234586231124,high,
9180121,PUMP_1cpd,1.0,1.0,0.017716509726110632,high,
9180121,PUMP_2cpd,2.0,2.0,0.013899794265833506,high,
9040111,PUMP_1cpd,1.0,1.0002488800398208,0.010371943340415413,high,
9040111,PUMP_2cpd,2.0,2.0,0.006516928987265947,high,
9030411,PUMP_2cpd,2.0,2.0,0.002817801742354389,moderate,Peak at ~1.0 cpd present but not captured as candidate
7230331,PUMP_1cpd,1.0,1.0,0.0072130339832974085,high,
7230331,PUMP_2cpd,2.0,2.0,0.02178570211320305,high,
7170221,PUMP_1cpd,1.0,1.0,0.007453007632761685,high,
7170221,PUMP_2cpd,2.0,2.0,0.005511089712136625,high,
9180311,PUMP_1cpd,1.0,1.0,0.07967404415422888,high,
9180311,PUMP_2cpd,2.0,2.0,0.012369400658720999,high,
9050121,PUMP_1cpd,1.0,1.0,0.018092259456384964,high,
9050121,PUMP_2cpd,2.0,2.0,0.003493222127782055,high,
9030211,PUMP_1cpd,1.0,1.0,0.13250164258685557,high,
9030211,PUMP_2cpd,2.0,2.0,0.019236501312601597,high,
9180431,PUMP_1cpd,1.0,1.0,0.014912632965864066,high,
9190142,PUMP_1cpd,1.0,1.0,0.0068732203966963,high,
9190142,PUMP_2cpd,2.0,2.0,0.006497996417974616,high,
9040121,PUMP_1cpd,1.0,1.0,0.07566745263556414,high,
9040121,PUMP_2cpd,2.0,2.0,0.022291872279292118,high,
9180131,PUMP_1cpd,1.0,1.0,0.016282211289748466,high,
9180131,PUMP_2cpd,2.0,2.0,0.007424205172936338,high,
9130111,PUMP_1cpd,1.0,1.0,0.0457690977727192,high,
9130111,PUMP_2cpd,2.0,2.0,0.025795655417107908,high,
9070221,PUMP_1cpd,1.0,1.0,0.021858898883804708,high,
9070221,PUMP_2cpd,2.0,2.0,0.011039791214628268,high,
7170211,PUMP_1cpd,1.0,1.0,0.0205758158406643,high,
7230221,PUMP_1cpd,1.0,1.0,0.06603291105829452,high,
7230221,PUMP_2cpd,2.0,2.0,0.02237805725906062,high,
7120111,PUMP_1cpd,1.0,0.9995022399203584,0.0040742717720048515,high,
7120111,PUMP_2cpd,2.0,2.0,0.0042149744376126,high,
7110111,PUMP_1cpd,1.0,1.0,0.05943898939052233,high,
7110111,PUMP_2cpd,2.0,2.0,0.008848480062027774,high,
9110141,PUMP_1cpd,1.0,1.0,0.004180874598143263,high,
9110141,PUMP_2cpd,2.0,2.0,0.002745660795628928,moderate,
7100121,PUMP_1cpd,1.0,1.0,0.024339785168407516,high,
9030221,PUMP_1cpd,1.0,1.0,0.03693224608905435,high,
9030221,PUMP_2cpd,2.0,2.0,0.00414608662847752,high,
7230211,PUMP_1cpd,1.0,1.0,0.03955453719484089,high,
9110131,PUMP_1cpd,1.0,1.0,0.011657810802253962,high,
9110131,PUMP_2cpd,2.0,2.0,0.004285710521726951,high,
9180421,PUMP_1cpd,1.0,1.0,0.14506357028024922,high,
9180421,PUMP_2cpd,2.0,2.0,0.01702852202766951,high,
7260231,PUMP_1cpd,1.0,1.0,0.02027638108436217,high,
7260231,PUMP_2cpd,2.0,2.0,0.004903555662398288,high,
9190111,PUMP_1cpd,1.0,1.0,0.05171329176865627,high,
9190111,PUMP_2cpd,2.0,2.0,0.009804907434391144,high,
9200321,PUMP_1cpd,1.0,1.0,0.14662682544908073,high,
9040211,PUMP_1cpd,1.0,1.0,0.16780988072253794,high,
9040211,PUMP_2cpd,2.0,2.0,0.0351924568206018,high,
9060121,PUMP_1cpd,1.0,1.0,0.006339888647292817,high,
9060121,PUMP_2cpd,2.0,2.0,0.004790895291163197,high,
9080121,PUMP_1cpd,1.0,1.0,0.04242654622390095,high,
7120121,PUMP_1cpd,1.0,1.0,0.003701584146930429,high,
7120121,PUMP_2cpd,2.0,2.0,0.006824013431925233,high,
9130231,PUMP_1cpd,1.0,1.0,0.016586720867078186,high,
9130231,PUMP_2cpd,2.0,2.000248880039821,0.0014054200695500898,moderate,
9010132,PUMP_1cpd,1.0,1.0002488800398208,0.016591369212902288,high,
9010132,PUMP_2cpd,2.0,1.9997511199601792,0.005430708782836556,high,
9010211,PUMP_1cpd,1.0,1.0,0.006359050258589604,high,
9010211,PUMP_2cpd,2.0,2.0,0.005273099955843818,high,
7010111,PUMP_1cpd,1.0,1.0002488800398208,0.0039359817613173744,high,
7010111,PUMP_2cpd,2.0,2.0,0.006430407581267332,high,
9090121,PUMP_2cpd,2.0,2.0,0.0023124886529426163,moderate,
7010131,PUMP_1cpd,1.0,1.0,0.01141590169014654,high,
7220231,PUMP_1cpd,1.0,1.0004977600796416,0.002040936595094837,moderate,
7220231,PUMP_2cpd,2.0,2.0,0.0038972666125114876,high,
7100221,PUMP_1cpd,1.0,1.0,0.013612691085309724,high,
9080241,PUMP_1cpd,1.0,1.0,0.2105606769946045,high,
9080241,PUMP_2cpd,2.0,2.0,0.04816662367324346,high,
9040221,PUMP_1cpd,1.0,1.0,0.022779450900097274,high,
9040221,PUMP_2cpd,2.0,2.0,0.003474010403351091,high,
9090111,PUMP_1cpd,1.0,1.0,0.015166916143658052,high,
9090111,PUMP_2cpd,2.0,2.0,0.008124755736955045,high,
9130221,PUMP_1cpd,1.0,1.0,0.1826497060279538,high,
9130221,PUMP_2cpd,2.0,2.0,0.03487193759258377,high,
7230231,PUMP_2cpd,2.0,2.0,0.02940745285011696,high,
7140141,PUMP_1cpd,1.0,1.0,0.003958518992824027,high,
7140141,PUMP_2cpd,2.0,2.0,0.0030974308080978477,high,
7020131,PUMP_1cpd,1.0,1.0,0.01155235147709154,high,
7020131,PUMP_2cpd,2.0,2.0,0.005184344940932734,high,
7040121,PUMP_1cpd,1.0,1.0,0.007917735475654629,high,
7040121,PUMP_2cpd,2.0,2.0,0.0019991555124423176,moderate,
7040131,PUMP_1cpd,1.0,1.0,0.011200536138612405,high,
7040131,PUMP_2cpd,2.0,2.0,0.002648088838042584,moderate,
7060111,PUMP_1cpd,1.0,1.0,0.010219505503545627,high,
7060111,PUMP_2cpd,2.0,2.0,0.008848800712579482,high,
9010231,PUMP_1cpd,1.0,1.0,0.023854295044402157,high,
9010231,PUMP_2cpd,2.0,2.0,0.006583790121857889,high,
7170111,PUMP_1cpd,1.0,1.0,0.016146909034164065,high,
9070211,PUMP_1cpd,1.0,0.9997511199601792,0.005625217465474226,high,
9120131,PUMP_1cpd,1.0,1.0,0.0059945773297135395,high,
9120131,PUMP_2cpd,2.0,2.0,0.002435948150720819,moderate,
7100131,PUMP_1cpd,1.0,1.0,0.034968772453516705,high,
7100131,PUMP_2cpd,2.0,2.0,0.005658602860885439,high,
9080111,PUMP_1cpd,1.0,1.0,0.06299710816854123,high,
9080111,PUMP_2cpd,2.0,2.0,0.015287991863946509,high,
9190121,PUMP_1cpd,1.0,1.0,0.04704247266886261,high,
7250121,PUMP_1cpd,1.0,1.0,0.014705372008882429,high,
7250121,PUMP_2cpd,2.0,2.0,0.008231837371729854,high,
